month,long_ticker,short_ticker,cluster,mom1_diff
2018-04-01,TSLA,AMZN,4,0.18119826112795845
2018-04-01,TSLA,META,4,0.12033330678111442
2018-04-01,META,AMZN,4,0.060864954346844025
2018-04-01,COST,MCD,5,0.0042423222887676415
2018-04-01,CAT,ETN,6,0.04521182792252609
2018-04-01,EMR,ETN,6,0.037203585064109146
2018-04-01,CAT,EMR,6,0.008008242858416947
2018-04-01,WFC,USB,7,0.037350606282025245
2018-04-01,BAC,COF,8,0.04067511292367343
2018-04-01,JPM,COF,8,0.026320141923342755
2018-04-01,BAC,MS,8,0.025480460087958234
2018-04-01,UNH,ABT,9,0.04398054629075965
2018-04-01,UNH,TMO,9,0.04148617406323607
2018-04-01,UNH,JNJ,9,0.03738211255507162
2018-04-01,PEP,CL,10,0.03733784837054199
2018-04-01,PG,CL,10,0.029592735347992116
2018-04-01,KO,CL,10,0.025583500207560395
2018-04-01,T,VZ,11,0.019614983944780562
2018-04-01,XOM,CVX,12,0.033977270326698616
2018-04-01,SLB,COP,13,0.10477008166972823
2018-04-01,EOG,COP,13,0.05365696801008335
2018-04-01,SLB,EOG,13,0.05111311365964488
2018-04-01,KMI,OKE,14,0.08075630987879356
2018-04-01,D,NEE,15,0.15275368981085358
2018-04-01,D,EIX,15,0.14001452935135206
2018-04-01,D,EXC,15,0.13250520357872786
2018-05-01,AAPL,MSFT,0,0.03969435409373889
2018-05-01,SBUX,MSFT,0,0.03023982878568965
2018-05-01,AAPL,SBUX,0,0.009454525308049244
2018-05-01,TMUS,NKE,1,0.037996850706543794
2018-05-01,INTC,CSCO,2,0.04969303927573432
2018-05-01,INTC,HD,2,0.045477690801163484
2018-05-01,HD,CSCO,2,0.004215348474570835
2018-05-01,MMM,GE,3,0.1580819939673358
2018-05-01,ITW,GE,3,0.13705231117364736
2018-05-01,MMM,BA,3,0.13181435479965564
2018-05-01,ETN,EMR,4,0.0334336741294915
2018-05-01,META,TSLA,5,0.027932828772156304
2018-05-01,AMZN,TSLA,5,0.02227091800358405
2018-05-01,META,AMZN,5,0.005661910768572254
2018-05-01,COF,JPM,6,0.048509954773355735
2018-05-01,GS,BAC,7,0.05127608440727105
2018-05-01,MS,BAC,7,0.036331718521191436
2018-05-01,GS,MS,7,0.014944365886079614
2018-05-01,ABT,UNH,8,0.1300328888907618
2018-05-01,JNJ,UNH,8,0.1178011827488391
2018-05-01,TMO,UNH,8,0.08613714670921802
2018-05-01,CL,KO,9,0.07950165685154531
2018-05-01,PG,KO,9,0.07394675904163062
2018-05-01,PEP,KO,9,0.0699602716882245
2018-05-01,T,VZ,10,0.11460051026560703
2018-05-01,XOM,CVX,11,0.05504599358446005
2018-05-01,SLB,EOG,12,0.06597282215639089
